step,price
0,100
1,99.989
2,100.097
3,100.259
4,100.228
5,100.164
6,99.9654
7,100.05
8,100.07
9,100.143
10,100.335
11,100.439
12,100.423
13,100.281
14,100.207
15,99.9863
16,99.781
17,99.5944
18,99.537
19,99.6447
20,99.5177
21,99.3735
22,99.156
23,99.2343
24,99.2543
25,98.972
26,98.8818
27,98.6615
28,98.7105
29,98.832
30,98.8902
31,98.952
32,98.952
33,99.1864
34,99.2904
35,99.311
36,99.4687
37,99.331
38,99.156
39,99.0461
40,98.9815
41,98.8912
42,98.7018
43,98.5277
44,98.3853
45,98.2557
46,98.097
47,97.9742
48,97.8089
49,97.8213
50,97.6414
51,97.5374
52,97.4163
53,97.3048
54,97.1132
55,97.0435
56,96.8549
57,96.6453
58,96.4348
59,96.2614
60,96.0974
61,95.9953
62,95.7683
63,95.5872
64,95.3472
65,95.1469
66,95.0912
67,94.9773
68,94.8036
69,94.7081
70,94.5176
71,94.3995
72,94.223
73,94.0492
74,93.949
75,93.8508
76,93.789
77,93.6471
78,93.5388
79,93.4
80,93.2505
81,93.1266
82,92.999
83,92.8887
84,92.9094
85,92.7911
86,92.8915
87,93.0468
88,93.0668
89,93.1486
90,93.3169
91,93.1955
92,93.0383
93,92.9224
94,92.874
95,92.7845
96,92.639
97,92.5168
98,92.639
99,92.511
100,92.4075
101,92.2848
102,92.2447
103,92.2118
104,92.0322
105,92.0322
106,91.6626
107,91.6426
108,91.5061
109,91.4083
110,91.266
111,91.1461
112,90.9807
113,90.7887
114,90.5469
115,90.351
116,90.2281
117,90.0982
118,89.9223
119,89.899
120,89.7307
121,89.7107
122,89.4805
123,89.3815
124,89.2236
125,89.0273
126,88.9092
127,88.7498
128,88.5041
129,88.3346
130,88.1246
131,87.9954
132,87.9081
133,87.7319
134,87.6078
135,87.4562
136,87.3167
137,87.2628
138,87.1865
139,87.0023
140,86.8919
141,86.7936
142,86.6517
143,86.6201
144,86.5397
145,86.3763
146,86.3178
147,86.1486
148,85.9625
149,85.8278
150,85.7176
151,85.6076
152,85.3989
153,85.2606
154,85.0963
155,84.9223
156,84.6943
157,84.5269
158,84.378
159,84.2053
160,84.0623
161,83.8955
162,83.6706
163,83.4528
164,83.3041
165,83.0956
166,82.9933
167,82.8551
168,82.8009
169,82.6853
170,82.5808
171,82.4064
172,82.2645
173,82.1299
174,81.9513
175,81.7752
176,81.8545
177,81.9913
178,81.8906
179,81.7583
180,81.664
181,81.5121
182,81.3345
183,81.208
184,81.1184
185,81.208
186,81.228
187,81.3181
188,81.3381
189,81.285
190,81.089
191,81.069
192,80.8939
193,80.669
194,80.513
195,80.4455
196,80.2888
197,80.2142
198,80.3404
199,80.4996
200,80.521
201,80.541
202,80.7034
